ID	Year of Study	Acquired Skills
18766	5	Dynamic Structures, C++, Web Development
12037	4	Python, Web Development, Algorithmic
12462	5	Mathematics, Web Development, Python
13532	1	
10325	5	Web Development, Statistics, Compilation, Algorithmic, Software Engineering
12425	1	Compilation, Web Development, Software Engineering, Static Structures
14862	2	
12364	1	Python, Compilation, Probability
13285	1	Security, Robotics, Algorithmic, Dynamic Structures, Web Development
14223	4	Design, C++, Algorithmic, Python, Static Structures
10540	2	Security
17307	5	C++, Java
17650	2	Security
16511	5	
10567	2	Python, Compilation, Security, Design, Web Development
17259	4	Mathematics, Security, Probability, Web Development
13438	4	Python, Algorithmic, Java, Mathematics
12395	4	Algorithmic, C++, Software Engineering
17774	5	Dynamic Structures, Security, Python, Software Engineering
17977	1	C++, Dynamic Structures, Robotics
16584	5	Web Development
13375	3	Algorithmic, Web Development, Robotics
18464		Mathematics, Security, Python, Design
10466	4	C++, Java, Dynamic Structures, Mathematics
16949	4	Probability
10317	5	Robotics, Static Structures, Dynamic Structures
10831	5	Robotics, Dynamic Structures, Security
14538	4	C++, Compilation
10072		Web Development, Algorithmic, Dynamic Structures, Design, Static Structures
15994	1	Design, Robotics
14430	4	Design, Static Structures, Java, Dynamic Structures, Web Development
15998	2	Dynamic Structures, Security, Java, C++
11592	5	Algorithmic, Design, Dynamic Structures
15179		Compilation
19282	3	Design
13880	1	Algorithmic, Software Engineering, Mathematics, Dynamic Structures, Security
12173	3	Java, Software Engineering
11990	3	Robotics, Compilation, Software Engineering, Python, Probability
13305	4	Python, Robotics, Software Engineering, Design
12068	2	Web Development
14900	1	Algorithmic, Security, Mathematics, Statistics, Robotics
11964	2	Java, Algorithmic, Robotics, Probability, Compilation
10994	5	Mathematics, Statistics, Probability
13225	2	Static Structures, Mathematics
10916	5	Dynamic Structures, Mathematics, Python
10908	2	Security
10511	5	Compilation, Security, Static Structures, Dynamic Structures
17145	1	Design, Compilation, Statistics
15275	3	C++, Design, Robotics, Dynamic Structures
15602	4	Dynamic Structures, Software Engineering, Compilation, C++, Security
12617	2	Security, Design, Dynamic Structures, Probability
18363	3	Static Structures, C++, Python, Java, Probability
19555	4	Compilation, Statistics, C++, Software Engineering, Robotics
14374	3	Java
12909	4	Static Structures, Compilation, Design, C++, Software Engineering
19241	4	Robotics, Design, Algorithmic, Statistics
13189	4	
19739	4	Dynamic Structures, Static Structures, Java, Security, Probability
14268	5	Dynamic Structures, Statistics
19799	1	Dynamic Structures, Java, Compilation, Python, Algorithmic
10004	3	Algorithmic, C++, Security, Java
11828	2	Security, Dynamic Structures, Web Development
11249	4	Design
11092	1	Design
19092	3	Python, Algorithmic, Security, Mathematics, Design
18369	5	Static Structures, Web Development, Statistics, Dynamic Structures
15072	3	Statistics, Robotics, Algorithmic, Dynamic Structures, Java
13185	5	
15808	3	Compilation, Statistics, Static Structures, Dynamic Structures
15860	1	Software Engineering, Security
17654	5	Java
19070	5	Java, Python
11773	2	Mathematics
10194	5	Probability
14794	1	Python, Java
11660	4	Mathematics, Compilation, Design, Python
13100	5	Software Engineering, Dynamic Structures, Web Development
12069	1	Dynamic Structures
13608	2	Robotics, Web Development
18258	1	Compilation, Web Development
16116	5	Robotics, C++, Dynamic Structures, Web Development, Static Structures
11873	5	Web Development, Static Structures, Java, Statistics
16376	4	Algorithmic, Statistics
15924	4	Software Engineering, Mathematics, Java, Probability
15294	4	Security, Design, Static Structures, Mathematics, Probability
17187	3	Static Structures, Mathematics, Python, Software Engineering, Compilation
17627	4	Software Engineering, Security, C++
12644	2	Robotics, Algorithmic, Python, C++
16363	4	Statistics, Design
16783	1	Design, Java, Compilation, Probability
10105	1	
12476	3	
13099		Statistics, Design, Probability, Python
14476	4	Statistics, Software Engineering, Static Structures, Security
12738	1	Web Development, C++
15810	5	Statistics
13920	4	Design, Probability, Compilation, Static Structures
19912	1	Probability, Python, Java, Algorithmic
16397	3	Probability, Dynamic Structures, Software Engineering, Design
10736	4	Java, Algorithmic, Static Structures, Mathematics, C++
13358	4	
15521	1	Security, Design, Probability, Compilation
17925	2	Mathematics, Static Structures, Web Development, C++
16263	1	Java, Security, Statistics
10056	2	Design, Software Engineering, Compilation, Statistics, Java
15328	1	Java
11343	4	Web Development, Static Structures, Compilation, Python
10279		Design
13644	3	Design, Web Development, Algorithmic
15174	5	
15182	1	Static Structures, Web Development, Robotics, Compilation, Mathematics
19944	2	C++, Dynamic Structures, Probability, Static Structures, Compilation
18717	2	Design, Python, Algorithmic
19536	1	C++, Algorithmic, Design
14486	2	Web Development
19760	3	Robotics, Algorithmic, Dynamic Structures, Statistics
12997	2	Security, Probability, C++
17720	1	Compilation, Web Development, Design
13804	3	Software Engineering, Algorithmic, Security, Probability
15962	5	Static Structures, Web Development, Probability, Python, Dynamic Structures
19870	3	Web Development, Static Structures, Compilation
10446	1	Probability, Java, Design
17901	1	Software Engineering, Statistics, Dynamic Structures
13837	4	Security, Probability, Python, Design, C++
11154		Statistics, Robotics, Dynamic Structures
16423	3	C++
15957	2	Probability
15157	1	Web Development, Statistics
19807	1	Algorithmic, Robotics, Python, Design
12689		Statistics, Design, Robotics, Mathematics, Web Development
15239		Python, Probability, Mathematics, Robotics
17504	1	
17446	3	C++, Compilation, Mathematics, Dynamic Structures, Statistics
12176	2	Robotics, Statistics
18885	4	Java, Python, Static Structures
16209	5	Static Structures, Algorithmic, Web Development
18523	1	Probability, Python, Web Development
11645	3	Statistics, Robotics, Static Structures, Algorithmic, C++
12586		Compilation, Web Development, Robotics, Design
11031	1	Python, Mathematics
18351	4	Statistics, Python, Java
14871	4	Web Development, Algorithmic, Mathematics
15074	3	
11854	4	Web Development
15130		Statistics, Static Structures, C++, Mathematics, Compilation
17146	3	Security, Python
10263		
12902	3	Web Development, Statistics
11603	5	Dynamic Structures, C++, Java
12408	5	Statistics, Robotics, Probability, Python, Java
16735	5	Security, Web Development
17911	5	Design, Security, Mathematics, Statistics
12651	4	Algorithmic
17376	1	Design, Security, Algorithmic, Dynamic Structures, Mathematics
12861	4	Compilation, Dynamic Structures
14481	2	Statistics, C++
11737	2	Compilation
18845	2	Probability
19960	4	Algorithmic, Python
14937	4	Python, Security, Probability, Algorithmic
10777	4	Compilation, Design, Java
15302	3	Web Development, Software Engineering, Dynamic Structures, Statistics
16226	2	Dynamic Structures, Software Engineering
19706	1	Web Development, Robotics, Mathematics
16484	5	Mathematics, C++, Security
12010	4	Web Development, Design, Static Structures
17377	2	Probability, Design, Security, Static Structures
11760	2	Static Structures, Mathematics, Probability, Dynamic Structures, Compilation
19612		Algorithmic
12274	4	Algorithmic, Dynamic Structures, Security, Static Structures, Statistics
14737	4	C++, Web Development, Robotics, Compilation
14600	5	Software Engineering, Statistics
18074	4	Web Development
15536	5	Python, Robotics
12466	4	Static Structures, Design, Algorithmic, Python
18518	4	Robotics, Dynamic Structures, Design
13416	2	Static Structures, Design, Java, Compilation, Web Development
17931	4	Algorithmic, Web Development, Compilation
19197	1	Compilation, Security
11187	4	Software Engineering
13831	1	Statistics, C++, Mathematics
13779	2	Algorithmic, Robotics, Security, Design
10441	5	Security, Java
16496	4	
11788	3	Statistics, Design, Java, C++
16476	3	Python, Robotics, Static Structures
18622	3	Mathematics, Dynamic Structures, Python
11822	5	Security
16312	5	Robotics
17999	5	Python, Dynamic Structures
18638	2	Python, Static Structures, C++, Design, Robotics
12402	2	Dynamic Structures
13879	4	
17007	5	Java, Robotics
17167	2	Python, Dynamic Structures, Software Engineering
10914	5	Robotics
14317	5	Python, Dynamic Structures
11061	2	Software Engineering, Mathematics
14161	3	Software Engineering
17260	5	Robotics, Mathematics
13368	3	Design, Probability, Dynamic Structures, Mathematics, Java
16315	5	Java, Python, Dynamic Structures
11084	1	Robotics
14559	2	Design, Security
10018	2	Dynamic Structures, Static Structures, Statistics, C++, Python
